iter	MultiClass
0	1.38088367
1	1.374215883
2	1.368525643
3	1.362193678
4	1.35652767
5	1.352121435
6	1.347226284
7	1.342378572
8	1.337501789
9	1.332680487
10	1.328437635
11	1.324971446
12	1.321597793
13	1.31842417
14	1.313238934
15	1.307725828
16	1.304891349
17	1.301269203
18	1.297642731
19	1.293273816
20	1.290882617
21	1.287557004
22	1.284638331
23	1.282470428
24	1.27977784
25	1.276683417
26	1.274247872
27	1.271462219
28	1.268798991
29	1.265707911
30	1.263293415
31	1.259976223
32	1.257871098
33	1.254641618
34	1.252244654
35	1.25044245
36	1.248748119
37	1.246690505
38	1.244271354
39	1.242394847
40	1.239641303
41	1.236907894
42	1.234590941
43	1.232769859
44	1.230743818
45	1.228336634
46	1.225930797
47	1.224095007
48	1.222591664
49	1.221711982
50	1.220284523
51	1.218370484
52	1.217308659
53	1.215921648
54	1.214387938
55	1.21269074
56	1.210354011
57	1.20836316
58	1.207712317
59	1.206665849
60	1.205642874
61	1.203976512
62	1.202156982
63	1.201045728
64	1.199603898
65	1.198116305
66	1.196600488
67	1.195372502
68	1.194134846
69	1.193301903
70	1.191369295
71	1.190134832
72	1.189364146
73	1.187774396
74	1.186541231
75	1.185400571
76	1.184885049
77	1.183980711
78	1.183021292
79	1.181703371
80	1.180551613
81	1.179973454
82	1.179350636
83	1.178413892
84	1.177131801
85	1.175926359
86	1.174877642
87	1.17348168
88	1.172512813
89	1.172028963
90	1.170964226
91	1.170271299
92	1.170052365
93	1.169092938
94	1.167676335
95	1.166301096
96	1.16528226
97	1.164059508
98	1.162757809
99	1.161401153
100	1.16049984
101	1.159646265
102	1.158793558
103	1.157643971
104	1.15682127
105	1.156159301
106	1.155587664
107	1.154409952
108	1.15324663
109	1.152803475
110	1.152300915
111	1.151457922
112	1.150721655
113	1.150565139
114	1.150266099
115	1.149423753
116	1.148933312
117	1.147984594
118	1.147397717
119	1.146200002
120	1.14588605
121	1.145320774
122	1.144942929
123	1.144769191
124	1.143524543
125	1.142755251
126	1.142458811
127	1.141824562
128	1.141450566
129	1.140523791
130	1.139830629
131	1.139495378
132	1.139232126
133	1.138666775
134	1.137840005
135	1.137452057
136	1.136899099
137	1.135953498
138	1.135109694
139	1.134611866
140	1.133812937
141	1.132950667
142	1.131830794
143	1.131004063
144	1.129705555
145	1.12944615
146	1.128997517
147	1.128242652
148	1.127418428
149	1.126529718
150	1.12633932
151	1.125759044
152	1.12511729
153	1.123966161
154	1.123134373
155	1.122254775
156	1.121822497
157	1.12171841
158	1.121266434
159	1.120231716
160	1.118868879
161	1.118659298
162	1.117881224
163	1.117756583
164	1.117401454
165	1.116550599
166	1.115470723
167	1.115130265
168	1.114805845
169	1.114455638
170	1.113970709
171	1.113638549
172	1.112889726
173	1.112801231
174	1.11247498
175	1.111820492
176	1.110619604
177	1.110128048
178	1.109578008
179	1.109192618
180	1.109011257
181	1.108718259
182	1.107853863
183	1.107311857
184	1.106834742
185	1.106262431
186	1.105339782
187	1.104570096
188	1.104232428
189	1.103797974
190	1.102856664
191	1.101761126
192	1.101441483
193	1.100949895
194	1.100034378
195	1.09942054
196	1.099146176
197	1.098668453
198	1.098603843
199	1.098027301
200	1.097568708
201	1.097199943
202	1.096832569
203	1.096587737
204	1.096070044
205	1.095872654
206	1.095311098
207	1.094736067
208	1.094219831
209	1.093976423
210	1.09356143
211	1.093462825
212	1.092959691
213	1.092730838
214	1.092409673
215	1.092077727
216	1.09139034
217	1.090686795
218	1.090108047
219	1.089504964
220	1.088927727
221	1.088683935
222	1.088329413
223	1.087543754
224	1.087271332
225	1.086825197
226	1.086097555
227	1.085155329
228	1.084512811
229	1.084326029
230	1.084036165
231	1.083266008
232	1.082571581
233	1.081996932
234	1.081647111
235	1.080999813
236	1.080197126
237	1.079538477
238	1.079308275
239	1.078931272
240	1.078173472
241	1.077695243
242	1.07723372
243	1.076655171
244	1.075838983
245	1.075431216
246	1.074974266
247	1.074677964
248	1.073863259
249	1.072851951
250	1.072536821
251	1.07181889
252	1.071151152
253	1.070675435
254	1.070170685
255	1.069644865
256	1.068208183
257	1.0677664
258	1.06759933
259	1.067179104
260	1.066961997
261	1.06643687
262	1.065934394
263	1.065570023
264	1.064505146
265	1.064342097
266	1.063229844
267	1.062837753
268	1.062601396
269	1.062056449
270	1.061819315
271	1.060741005
272	1.060518939
273	1.05985769
274	1.059390258
275	1.058497928
276	1.058247065
277	1.057402443
278	1.056919631
279	1.056391854
280	1.055691393
281	1.05543764
282	1.054958011
283	1.054672365
284	1.054592858
285	1.054109717
286	1.05379784
287	1.053623348
288	1.052877319
289	1.051800347
290	1.051221112
291	1.050911376
292	1.050554066
293	1.050415951
294	1.050107123
295	1.049866226
296	1.049610877
297	1.049066394
298	1.048664394
299	1.048245673
300	1.048115805
301	1.04774338
302	1.04768001
303	1.046904619
304	1.046550118
305	1.0458466
306	1.045286013
307	1.044438141
308	1.044273892
309	1.043751867
310	1.043223896
311	1.042397646
312	1.041911142
313	1.041652595
314	1.040553092
315	1.039582506
316	1.039377981
317	1.039045647
318	1.038593923
319	1.037972467
320	1.037377894
321	1.036872843
322	1.036251575
323	1.03516456
324	1.0348214
325	1.034033835
326	1.033165984
327	1.032838995
328	1.032587975
329	1.032219528
330	1.031715172
331	1.031139046
332	1.030791888
333	1.030342512
334	1.030034173
335	1.029803795
336	1.029173411
337	1.028335867
338	1.027841962
339	1.027581908
340	1.027018469
341	1.02694856
342	1.026234671
343	1.025644585
344	1.024971362
345	1.024438954
346	1.023779412
347	1.023499894
348	1.022964988
349	1.022624325
350	1.022075992
351	1.021589065
352	1.020982648
353	1.020717207
354	1.019991795
355	1.019361311
356	1.018696007
357	1.018430948
358	1.017947307
359	1.017278478
360	1.016365006
361	1.015554381
362	1.015150498
363	1.014437826
364	1.013904014
365	1.013288287
366	1.012929663
367	1.012242393
368	1.011704852
369	1.011402993
370	1.010993356
371	1.010778233
372	1.010076075
373	1.00988795
374	1.008933941
375	1.008612397
376	1.008061729
377	1.00792025
378	1.0071632
379	1.00688904
380	1.006489683
381	1.006250914
382	1.00573142
383	1.005063743
384	1.004663594
385	1.004314247
386	1.003810062
387	1.002837392
388	1.002517645
389	1.002177702
390	1.0017009
391	1.001337817
392	1.000362868
393	1.000226975
394	0.9997390284
395	0.9990813931
396	0.9985940965
397	0.9979331567
398	0.9977413974
399	0.9970578805
400	0.9965335425
401	0.9961241651
402	0.9959995824
403	0.9951509307
404	0.9944142881
405	0.9937516897
406	0.9936554979
407	0.9931117892
408	0.9923643435
409	0.9914374636
410	0.9906866399
411	0.9902272751
412	0.989484764
413	0.9888751699
414	0.9885694591
415	0.987985977
416	0.987486235
417	0.9867315858
418	0.985920059
419	0.9853735708
420	0.9851579345
421	0.9848093164
422	0.9842787407
423	0.9833831074
424	0.9828274974
425	0.9824215293
426	0.9816353257
427	0.981277103
428	0.9807420082
429	0.9804095413
430	0.9799314237
431	0.9792782241
432	0.9784431556
433	0.9781231872
434	0.9773183058
435	0.9771035699
436	0.9765232475
437	0.9759027216
438	0.9753537412
439	0.9748823239
440	0.9744724043
441	0.9736753385
442	0.973421769
443	0.9722243732
444	0.9717905808
445	0.9708774522
446	0.9701802457
447	0.9697068822
448	0.9691499855
449	0.9683037595
450	0.9675974912
451	0.9667929398
452	0.9665284887
453	0.9661290102
454	0.9654765288
455	0.965122552
456	0.9643076805
457	0.963687774
458	0.9633797995
459	0.9629877513
460	0.9626374908
461	0.9621827999
462	0.961712431
463	0.9609101763
464	0.9608205193
465	0.9597767416
466	0.9589736527
467	0.9582975711
468	0.9576753925
469	0.9574493751
470	0.9571135203
471	0.9569463331
472	0.9565845063
473	0.9561339704
474	0.9554964037
475	0.9550195911
476	0.9543982001
477	0.9540689756
478	0.9538753571
479	0.95336324
480	0.9528623481
481	0.9524197336
482	0.9516464621
483	0.9514977108
484	0.9512163666
485	0.9506061433
486	0.9504007337
487	0.9499715551
488	0.9497610165
489	0.9492904638
490	0.948900464
491	0.948106979
492	0.9478632124
493	0.947354238
494	0.9466188821
495	0.9464188093
496	0.9457180253
497	0.9454748678
498	0.945167801
499	0.9445393071
