iter	Passed	Remaining
0	11	5623
1	64	15987
2	123	20505
3	200	24844
4	282	28015
5	357	29468
6	449	31651
7	524	32260
8	548	29935
9	638	31270
10	712	31688
11	728	29610
12	788	29521
13	817	28384
14	878	28414
15	945	28616
16	978	27797
17	1022	27372
18	1103	27947
19	1193	28645
20	1254	28620
21	1340	29135
22	1398	28993
23	1430	28362
24	1456	27672
25	1524	27786
26	1584	27756
27	1650	27826
28	1707	27734
29	1817	28470
30	1868	28262
31	1944	28443
32	2008	28428
33	2087	28611
34	2190	29100
35	2252	29034
36	2313	28953
37	2381	28957
38	2460	29087
39	2523	29014
40	2584	28933
41	2661	29021
42	2740	29127
43	2822	29252
44	2895	29281
45	2965	29269
46	3036	29270
47	3112	29305
48	3182	29288
49	3207	28864
50	3316	29201
51	3399	29289
52	3472	29285
53	3516	29040
54	3584	29004
55	3694	29292
56	3784	29415
57	3847	29318
58	3861	28860
59	3926	28797
60	4022	28951
61	4098	28954
62	4196	29112
63	4268	29080
64	4332	28995
65	4414	29028
66	4487	28998
67	4547	28892
68	4610	28797
69	4682	28765
70	4759	28756
71	4847	28815
72	4932	28851
73	5018	28889
74	5098	28889
75	5193	28973
76	5243	28804
77	5325	28812
78	5391	28733
79	5468	28710
80	5578	28858
81	5687	28989
82	5777	29025
83	5838	28916
84	5898	28799
85	5965	28717
86	6069	28813
87	6138	28740
88	6223	28741
89	6327	28823
90	6412	28820
91	6483	28750
92	6511	28498
93	6574	28394
94	6679	28474
95	6753	28422
96	6844	28436
97	6939	28467
98	7014	28413
99	7090	28363
100	7178	28359
101	7269	28366
102	7341	28295
103	7423	28267
104	7495	28198
105	7557	28091
106	7619	27986
107	7686	27898
108	7806	28001
109	7885	27956
110	7949	27857
111	8036	27839
112	8105	27758
113	8184	27711
114	8275	27704
115	8339	27605
116	8396	27487
117	8463	27397
118	8523	27288
119	8599	27230
120	8660	27127
121	8722	27023
122	8810	27004
123	8862	26874
124	8980	26940
125	9060	26892
126	9137	26837
127	9213	26776
128	9303	26757
129	9368	26663
130	9445	26605
131	9522	26548
132	9586	26452
133	9647	26351
134	9709	26251
135	9784	26187
136	9873	26160
137	9949	26100
138	10037	26068
139	10100	25972
140	10163	25877
141	10254	25852
142	10334	25799
143	10429	25784
144	10523	25764
145	10600	25703
146	10679	25645
147	10809	25710
148	10885	25643
149	10965	25586
150	11013	25455
151	11086	25382
152	11183	25364
153	11257	25293
154	11334	25229
155	11421	25185
156	11483	25087
157	11550	25001
158	11619	24919
159	11694	24850
160	11784	24812
161	11849	24723
162	11953	24714
163	11979	24542
164	12048	24462
165	12112	24371
166	12178	24284
167	12253	24216
168	12334	24158
169	12420	24110
170	12485	24021
171	12546	23925
172	12643	23897
173	12667	23734
174	12748	23675
175	12816	23593
176	12911	23561
177	13007	23530
178	13100	23492
179	13193	23455
180	13267	23382
181	13345	23318
182	13431	23266
183	13499	23183
184	13618	23187
185	13695	23120
186	13782	23069
187	13862	23005
188	13959	22970
189	14036	22902
190	14131	22862
191	14210	22796
192	14290	22731
193	14366	22660
194	14442	22589
195	14548	22564
196	14640	22517
197	14736	22476
198	14790	22372
199	14871	22307
200	14935	22217
201	15017	22154
202	15106	22101
203	15190	22041
204	15255	21953
205	15380	21950
206	15453	21873
207	15494	21752
208	15581	21695
209	15704	21687
210	15847	21705
211	15931	21643
212	15998	21556
213	16064	21468
214	16161	21423
215	16247	21362
216	16366	21344
217	16435	21260
218	16512	21186
219	16591	21116
220	16654	21025
221	16750	20975
222	16853	20934
223	16931	20862
224	17011	20791
225	17076	20702
226	17139	20612
227	17268	20600
228	17340	20520
229	17413	20442
230	17484	20360
231	17545	20267
232	17626	20198
233	17716	20139
234	17790	20061
235	17855	19974
236	17934	19902
237	18009	19826
238	18074	19738
239	18181	19696
240	18283	19649
241	18380	19595
242	18462	19526
243	18539	19451
244	18603	19363
245	18681	19288
246	18759	19214
247	18904	19209
248	18978	19131
249	19116	19116
250	19198	19045
251	19287	18980
252	19355	18896
253	19433	18821
254	19507	18742
255	19585	18667
256	19650	18579
257	19726	18502
258	19790	18415
259	19872	18343
260	19936	18256
261	20128	18284
262	20196	18199
263	20286	18135
264	20377	18070
265	20449	17989
266	20519	17906
267	20629	17858
268	20715	17789
269	20795	17714
270	20868	17634
271	20943	17555
272	21020	17478
273	21113	17414
274	21196	17342
275	21270	17262
276	21355	17192
277	21428	17111
278	21503	17033
279	21615	16983
280	21680	16896
281	21760	16822
282	21832	16740
283	21909	16663
